"Audience Name","Email Name","Email type","Email Sent Time",Clicked,Opened,"Click Rate","Clicks Per Unique Opens","Total clicks","Emails sent","Open Rate","Total opens",Unsubscribed,"Unsubscribe Rate","Abuse complaints"
"Church Army","Prayer Points 2024:A13 24 March - 30 March",Regular,"2024-03-23 07:00:00",33,405,0.044654939323664,0.081481479108334,41,740,0.54803788661957,832,0,0,0
"Church Army","Researching Lay Ministries across the CofE",Regular,"2024-03-27 09:30:00",6,84,0.033333335071802,0.071428574621677,12,181,0.46666666865349,310,0,0,0
"Church Army","Supporter News | Appeal #2 | 28 March 2024",Regular,"2024-03-28 08:00:00",93,1741,0.028345016762614,0.053417574614286,158,3288,0.53063088655472,2779,4,0.0012191404821351,0
"Church Army","CA Connected Thursday 28 March 2024:021",Regular,"2024-03-28 11:15:10",46,372,0.071097373962402,0.12365591526031,110,647,0.57496136426926,828,0,0,0
"Church Army","Supporter News | TY Appeal #1 | 28 March 2024",Regular,"2024-03-28 16:35:52",0,15,0,0,0,22,0.68181818723679,28,0,0,0
"Church Army","Prayer Points 2024:B01 31 March - 6 April",Regular,"2024-03-30 07:00:00",56,393,0.075983718037605,0.14249363541603,96,738,0.53324288129807,745,0,0,0
"Church Army","Supporter News | Appeal #3 | 3 April 2024",Regular,"2024-04-04 08:00:00",14,1643,0.0043076924048364,0.0085209980607033,34,3256,0.50553846359253,2475,5,0.0015384615398943,0
"Church Army","Prayer Points 2024:B02 7 April - 13 April",Regular,"2024-04-06 07:00:00",49,379,0.066666670143604,0.12928760051727,82,736,0.51564627885818,756,0,0,0
"Church Army","Supporter News | Spring Harvest Welcome #1 (Skegness) | 6 April 2024",Regular,"2024-04-06 10:00:00",0,56,0,0,0,82,0.71794873476028,86,1,0.012820512987673,0
"Church Army","Supporter News | Spring Harvest Welcome #1 (PETITION ONLY - Skegness) | 6 April 2024",Regular,"2024-04-06 10:00:00",0,33,0,0,0,46,0.78571426868439,45,0,0,0
"Church Army","Supporter News | Spring Harvest Welcome #2 (Skegness) | 9 April 2024",Regular,"2024-04-09 17:00:00",0,76,0,0,0,123,0.63865548372269,103,0,0,0
"Church Army","Supporter News | Appeal #4 | - April 2024",Regular,"2024-04-11 08:00:00",34,1523,0.01019796077162,0.022324359044433,73,3346,0.45680862665176,2248,4,0.0011997600086033,0
"Church Army","Supporter News | TY Appeal #2 | 10 April 2024",Regular,"2024-04-11 15:22:03",0,7,0,0,0,11,0.63636362552643,18,0,0,0
"Church Army","CAConnected Friday 12 April 2024:022",Regular,"2024-04-12 12:30:00",79,358,0.12480252981186,0.22067038714886,183,633,0.56556081771851,602,0,0,0
"Church Army","CA Connected Saturday 13 April 2024:023",Regular,"2024-04-13 10:00:00",27,351,0.042789224535227,0.076923079788685,52,631,0.55625993013382,613,0,0,0
"Church Army","Supporter News | Spring Harvest Welcome #1 (Minehead) | 13 April 2024 (copy 01)",Regular,"2024-04-13 10:00:00",9,48,0.113924048841,0.1875,13,83,0.60759490728378,85,0,0,0
"Church Army","Supporter News | Spring Harvest Welcome #1 (PETITION ONLY - Minehead) | 13 April 2024 (copy 01)",Regular,"2024-04-13 10:00:00",9,37,0.14754098653793,0.24324324727058,11,63,0.60655736923218,69,1,0.016393441706896,0
"Church Army","Supporter News | Spring Harvest Welcome #2 (Minehead) | 16 April 2024",Regular,"2024-04-16 10:29:29",1,76,0.0074074072763324,0.013157894834876,1,136,0.56296294927597,123,2,0.014814814552665,0
"Church Army","Supporter News | Spring Harvest Welcome #3 (Skegness) | 17 April 2024",Regular,"2024-04-17 20:00:00",3,59,0.026315789669752,0.050847455859184,6,118,0.51754385232925,67,1,0.0087719298899174,0
"Church Army","Welcome - New Internals (Prayer Diary)",Automation,"2024-04-18 13:02:14",21,75,0.109375,0.28000000119209,50,192,0.390625,217,0,0,0
"Church Army","CA Connected Friday 19 April 2024:024",Regular,"2024-04-19 08:00:00",21,135,0.03328050673008,0.15555556118488,33,631,0.21394611895084,171,0,0,0
"Church Army","Supporter News | TY Appeal #3 | 19 April 2024",Regular,"2024-04-19 08:00:00",0,3,0,0,0,16,0.1875,3,0,0,0
